package,ecosystem,installed_version,cve_id,osv_id,summary,severity,cvss_vector,published,modified,aliases,reference_url
django,PyPI,2.2.0,CVE-2019-14233,PYSEC-2019-12,,,,2019-08-02T15:15:00Z,2023-11-08T04:01:09.343031Z,CVE-2019-14233; GHSA-h5jv-4p7w-64jg,https://www.djangoproject.com/weblog/2019/aug/01/security-releases/
django,PyPI,2.2.0,CVE-2019-14234,PYSEC-2019-13,,,,2019-08-09T13:15:00Z,2023-11-08T04:01:09.403667Z,CVE-2019-14234; GHSA-6r97-cj55-9hrq,https://www.djangoproject.com/weblog/2019/aug/01/security-releases/
django,PyPI,2.2.0,CVE-2019-14235,PYSEC-2019-14,,,,2019-08-02T15:15:00Z,2023-11-08T04:01:09.464696Z,CVE-2019-14235; GHSA-v9qg-3j8p-r63v,https://www.djangoproject.com/weblog/2019/aug/01/security-releases/
django,PyPI,2.2.0,CVE-2019-19118,PYSEC-2019-15,,,,2019-12-02T14:15:00Z,2023-11-08T04:01:27.740072Z,CVE-2019-19118; GHSA-hvmf-r92r-27hr,http://www.openwall.com/lists/oss-security/2019/12/02/1
django,PyPI,2.2.0,CVE-2019-19844,PYSEC-2019-16,,,,2019-12-18T19:15:00Z,2023-11-08T04:01:29.652595Z,CVE-2019-19844; GHSA-vfq6-hq5r-27r6,https://groups.google.com/forum/#!topic/django-announce/3oaB2rVH3a0
django,PyPI,2.2.0,CVE-2019-12308,PYSEC-2019-79,,,,2019-06-03T17:29:00Z,2023-11-08T04:01:03.504446Z,CVE-2019-12308; GHSA-7rp2-fm2h-wchj,https://www.djangoproject.com/weblog/2019/jun/03/security-releases/
django,PyPI,2.2.0,CVE-2020-13254,PYSEC-2020-31,,,,2020-06-03T14:15:00Z,2023-12-06T01:00:04.827501Z,BIT-django-2020-13254; CVE-2020-13254; GHSA-wpjr-j57x-wxfw,https://www.djangoproject.com/weblog/2020/jun/03/security-releases/
django,PyPI,2.2.0,CVE-2020-13596,PYSEC-2020-32,,,,2020-06-03T14:15:00Z,2023-12-06T01:00:11.037950Z,BIT-django-2020-13596; CVE-2020-13596; GHSA-2m34-jcjv-45xf,https://www.djangoproject.com/weblog/2020/jun/03/security-releases/
django,PyPI,2.2.0,CVE-2020-24583,PYSEC-2020-33,,,,2020-09-01T13:15:00Z,2023-12-06T01:00:24.074093Z,BIT-django-2020-24583; CVE-2020-24583; GHSA-m6gj-h9gm-gw44,https://groups.google.com/forum/#!topic/django-announce/Gdqn58RqIDM
django,PyPI,2.2.0,CVE-2020-24584,PYSEC-2020-34,,,,2020-09-01T13:15:00Z,2023-12-06T01:00:24.135957Z,BIT-django-2020-24584; CVE-2020-24584; GHSA-fr28-569j-53c4,https://groups.google.com/forum/#!topic/django-announce/Gdqn58RqIDM
django,PyPI,2.2.0,CVE-2020-9402,PYSEC-2020-345,,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2020-03-05T15:15:12.410Z,2026-05-21T15:00:12.104066248Z,BIT-django-2020-9402; CVE-2020-9402; GHSA-3gh2-xw74-jmcw; PYSEC-2020-36,https://groups.google.com/forum/#%21topic/django-announce/fLUh_pOaKrY
